Timestamp,Step,Power,Result
2025-11-19T14:29:28.739412,1,-30,-74.33468818664551
2025-11-19T14:29:28.927437,2,-25,-74.267578125
2025-11-19T14:29:29.115093,2,-25,-74.33691024780273
2025-11-19T14:29:29.302816,2,-25,-74.3048095703125
2025-11-19T14:29:29.490333,2,-25,-74.29851055145264
2025-11-19T14:29:29.678215,2,-25,-74.25986766815186
2025-11-19T14:29:29.866640,2,-25,-74.30904388427734
2025-11-19T14:29:30.054900,2,-25,-74.20198917388916
2025-11-19T14:29:30.242482,2,-25,-74.31519508361816
2025-11-19T14:29:30.431000,2,-25,-74.29377555847168
2025-11-19T14:29:30.618700,2,-25,-74.29793357849121
2025-11-19T14:29:30.805947,2,-25,-74.13618087768555
2025-11-19T14:29:30.993790,2,-25,-74.35715675354004
2025-11-19T14:29:31.181922,2,-25,-74.33258533477783
2025-11-19T14:29:31.369847,2,-25,-74.36215877532959
2025-11-19T14:29:31.557760,2,-25,-74.19127464294434
2025-11-19T14:29:31.745365,2,-25,-74.24033641815186
2025-11-19T14:29:31.932802,2,-25,-74.30452346801758
2025-11-19T14:29:32.120755,2,-25,-74.24802780151367
2025-11-19T14:29:32.309139,2,-25,-74.34487342834473
2025-11-19T14:29:32.497083,2,-25,-74.34172630310059
2025-11-19T14:29:32.685209,2,-25,-74.38549995422363
2025-11-19T14:29:32.873504,2,-25,-74.27042961120605
2025-11-19T14:29:33.061266,2,-25,-74.22246932983398
2025-11-19T14:29:33.248354,2,-25,-74.35472965240479
2025-11-19T14:29:33.436302,2,-25,-74.29966926574707
2025-11-19T14:29:33.624356,2,-25,-74.31985855102539
2025-11-19T14:29:33.812175,2,-25,-74.29230213165283
2025-11-19T14:29:34.000109,2,-25,-74.23312187194824
2025-11-19T14:29:34.188331,2,-25,-74.35916900634766
2025-11-19T14:29:34.376227,2,-25,-74.34998035430908
2025-11-19T14:29:34.564460,2,-25,-74.31126117706299
2025-11-19T14:29:34.752785,2,-25,-74.23216819763184
2025-11-19T14:29:34.940577,2,-25,-74.26395893096924
2025-11-19T14:29:35.127807,2,-25,-74.23778057098389
2025-11-19T14:29:35.315804,2,-25,-74.27529335021973
2025-11-19T14:29:35.504115,2,-25,-74.34535026550293
2025-11-19T14:29:35.692382,2,-25,-74.2903995513916
2025-11-19T14:29:35.881171,2,-25,-74.3120002746582
2025-11-19T14:29:36.069194,2,-25,-74.26465034484863
2025-11-19T14:29:36.257338,2,-25,-74.34297561645508
2025-11-19T14:29:36.445068,2,-25,-74.35863971710205
2025-11-19T14:29:36.633250,2,-25,-74.24197673797607
2025-11-19T14:29:36.821713,2,-25,-74.30323123931885
2025-11-19T14:29:37.008847,2,-25,-74.2402172088623
2025-11-19T14:29:37.196825,2,-25,-74.38838958740234
2025-11-19T14:29:37.384705,2,-25,-74.32751178741455
2025-11-19T14:29:37.572399,2,-25,-74.2365026473999
2025-11-19T14:29:37.759495,2,-25,-74.27807331085205
2025-11-19T14:29:37.947262,2,-25,-74.29073810577393
2025-11-19T14:29:38.135648,2,-25,-74.31739330291748
2025-11-19T14:29:38.323308,2,-25,-74.34091091156006
2025-11-19T14:29:38.511418,2,-25,-74.3012523651123
2025-11-19T14:29:38.698601,2,-25,-74.35132503509521
2025-11-19T14:29:38.886059,2,-25,-74.31407928466797
2025-11-19T14:29:39.073735,2,-25,-74.26126956939697
2025-11-19T14:29:39.262165,2,-25,-74.23165321350098
2025-11-19T14:29:39.448791,2,-25,-74.2858362197876
2025-11-19T14:29:39.635630,2,-25,-74.28436756134033
2025-11-19T14:29:39.823622,2,-25,-74.24960136413574
2025-11-19T14:29:40.011861,2,-25,-74.26446914672852
2025-11-19T14:29:40.198662,2,-25,-74.29512977600098
2025-11-19T14:29:40.385751,2,-25,-74.26798343658447
2025-11-19T14:29:40.573915,2,-25,-74.22833919525146
2025-11-19T14:29:40.761771,2,-25,-74.35328006744385
2025-11-19T14:29:40.949901,2,-25,-74.31638240814209
2025-11-19T14:29:41.137162,2,-25,-74.28013324737549
2025-11-19T14:29:41.323917,2,-25,-74.274001121521
2025-11-19T14:29:41.511044,2,-25,-74.23203468322754
2025-11-19T14:29:41.698448,2,-25,-74.29935932159424
2025-11-19T14:29:41.885805,2,-25,-74.36121940612793
2025-11-19T14:29:42.073358,2,-25,-74.29539680480957
2025-11-19T14:29:42.260814,2,-25,-74.36258316040039
2025-11-19T14:29:42.447110,2,-25,-74.19560432434082
2025-11-19T14:29:42.633369,2,-25,-74.29283142089844
2025-11-19T14:29:42.821325,2,-25,-74.29418563842773
2025-11-19T14:29:43.009800,2,-25,-74.31631088256836
2025-11-19T14:29:43.197697,2,-25,-74.28597927093506
2025-11-19T14:29:43.385776,2,-25,-74.23335075378418
2025-11-19T14:29:43.573212,2,-25,-74.31180477142334
2025-11-19T14:29:43.760361,2,-25,-74.2931604385376
2025-11-19T14:29:43.947606,2,-25,-74.27552700042725
2025-11-19T14:29:44.133019,2,-25,-74.34949398040771
2025-11-19T14:29:44.317518,2,-25,-74.31173324584961
2025-11-19T14:29:44.503554,2,-25,-74.29553031921387
2025-11-19T14:29:44.690654,2,-25,-74.31709289550781
2025-11-19T14:29:44.877822,2,-25,-74.22091484069824
2025-11-19T14:29:45.065234,2,-25,-74.27859306335449
2025-11-19T14:29:45.253202,2,-25,-74.24610614776611
2025-11-19T14:29:45.440411,2,-25,-74.32246685028076
2025-11-19T14:29:45.627417,2,-25,-74.25426483154297
2025-11-19T14:29:45.813710,2,-25,-74.26863193511963
2025-11-19T14:29:46.000481,2,-25,-74.30705547332764
2025-11-19T14:29:46.187707,2,-25,-74.3389081954956
2025-11-19T14:29:46.373982,2,-25,-74.27643299102783
2025-11-19T14:29:46.559860,2,-25,-74.34585094451904
2025-11-19T14:29:46.746327,2,-25,-74.18978691101074
2025-11-19T14:29:46.933158,2,-25,-74.30920600891113
2025-11-19T14:29:47.120061,2,-25,-74.25904750823975
2025-11-19T14:29:47.307925,2,-25,-74.25107479095459
2025-11-19T14:29:47.495459,2,-25,-74.26299571990967
2025-11-19T14:29:47.681232,2,-25,-74.30297374725342
2025-11-19T14:29:47.867574,2,-25,-74.27486896514893
2025-11-19T14:29:48.055587,2,-25,-74.2796516418457
2025-11-19T14:29:48.242790,2,-25,-74.30783271789551
2025-11-19T14:29:48.429825,2,-25,-74.29482936859131
2025-11-19T14:29:48.617941,2,-25,-74.23970699310303
2025-11-19T14:29:48.805339,2,-25,-74.22640800476074
2025-11-19T14:29:48.992436,2,-25,-74.33355808258057
2025-11-19T14:29:49.180845,2,-25,-74.30769920349121
2025-11-19T14:29:49.368976,2,-25,-74.33249473571777
2025-11-19T14:29:49.556672,2,-25,-74.18443202972412
2025-11-19T14:29:49.744814,2,-25,-74.26553726196289
2025-11-19T14:29:49.932746,2,-25,-74.3108320236206
